Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Banco de América Central, S.A.",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,0.0
2024-01-01,"Banco de América Central, S.A.",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,1.36585
2024-01-01,"Banco de América Central, S.A.",6113,Ganancia por venta de inversiones financieras,Ingreso,0.0
2024-01-01,"Banco de América Central, S.A.",62,Otros ingresos financieros,Ingreso,1859.28538
2024-01-01,"Banco de América Central, S.A.",6210,Otros ingresos financieros,Ingreso,1859.28538
2024-01-01,"Banco de América Central, S.A.",63,Ingresos de otras operaciones,Ingreso,1493.01778
2024-01-01,"Banco de América Central, S.A.",6310,Ingresos de otras operaciones,Ingreso,1493.01778
2024-01-01,"Banco de América Central, S.A.",71,Costos financieros,Costo,13707.04432
2024-01-01,"Banco de América Central, S.A.",711,Costos financieros,Costo,8299.73711
2024-01-01,"Banco de América Central, S.A.",7110,Costos de pasivos financieros,Costo,8299.73711
2024-01-01,"Banco de América Central, S.A.",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7112,Pérdidas por deterioro de activos financieros,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7114,Otros costos financieros,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,5407.30721
2024-01-01,"Banco de América Central, S.A.",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Banco de América Central, S.A.",72,Costos de otras operaciones,Costo,202.68255
2024-01-01,"Banco de América Central, S.A.",7210,Comisiones de otros servicios,Costo,135.95119
2024-01-01,"Banco de América Central, S.A.",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7212,Pérdidas por operaciones en moneda extranjera,Costo,39.12516
2024-01-01,"Banco de América Central, S.A.",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
2024-01-01,"Banco de América Central, S.A.",7214,Pérdida por deterioro de valor de activos,Costo,15.46416
2024-01-01,"Banco de América Central, S.A.",7215,Pérdida en venta de activos,Costo,11.28531
2024-01-01,"Banco de América Central, S.A.",7299,Costos por explotación de activos,Costo,0.85673
2024-01-01,"Banco de América Central, S.A.",81,Gastos de administración,Gasto,11228.71283
2024-01-01,"Banco de América Central, S.A.",8110,Gastos de funcionarios y empleados,Gasto,4084.88622
2024-01-01,"Banco de América Central, S.A.",8120,Gastos generales,Gasto,5783.82717
2024-01-01,"Banco de América Central, S.A.",8130,Depreciaciones y amortizaciones,Gasto,862.24658
2024-01-01,"Banco de América Central, S.A.",8140,Provisiones,Gasto,9.37144
2024-01-01,"Banco de América Central, S.A.",8150,Gasto por impuesto sobre las ganancias,Gasto,488.38142
2024-01-01,"Banco Abank, S.A.",61,Ingresos financieros,Ingreso,3681.25761
